ID,Sex,Age,AgeGroup,EthnicGroup,Education,SES,DeprivationIndex,Victim,effectx,fairx,confx,antisocx
136872170,Female,79,7,White,Other,2,4,0,,,0.1562962365346741,0.95
136872290,Male,35,3,White,University,1,5,0,,,-0.138132237,1.22
136872330,Female,68,6,White,University,5,5,0,-0.701478543,-0.600687761,-0.056910589,0.99
136873010,Male,50,4,White,University,1,5,0,0.4664600302259626,,-0.554393183,-0.53
136873050,Male,51,4,White,University,1,5,1,0.7559490783216478,-0.590550827,-0.341186357,0.48
136873090,Male,87,7,White,University,1,5,0,,0.6968398503966078,0.1156854125491157,1.22
136873130,Male,78,7,White,University,2,5,0,,0.3623210129898906,0.3593503564624661,0.43
136873170,Male,41,3,White,University,1,5,1,1.0554205073861498,-0.002608628,,1.22
136873210,Female,24,1,White,University,1,5,0,-0.112518066,,-0.056910589,1.22
136873250,Female,74,6,White,GCSE,3,5,0,,0.3623210129898906,0.613168006,1.22
136873290,Male,76,7,White,University,1,5,0,1.0554205073861498,0.5447858333935546,0.8974437742711149,-0.05
136873330,Male,56,5,White,University,1,4,0,0.7559490783216478,,0.6740842423505438,0.18
136874050,Female,38,3,Asian or Asian British,University,1,2,1,1.3748566983882853,0.6968398503966078,0.3593503564624661,-1.46
136874090,Male,31,2,White,ALevel,5,2,0,-0.122500447,-0.539866155,0.3593503564624661,-1.43
136874130,Female,76,7,White,,4,1,0,0.4564776492571459,0.4839642265923332,1.3340101321158675,-0.49
136874170,Female,48,4,White,GCSE,5,4,0,0.4365128873195124,-1.898215373,1.7807291959570102,1.22
136875010,Male,67,6,White,ALevel,5,5,0,-1.619857592,,0.3593503564624661,0.78
136875050,Female,42,3,White,University,1,5,0,0.4464952682883291,-0.631098565,-1.051875777,-0.94
136875130,Female,62,5,White,GCSE,2,5,0,2.2433238426753412,0.3623210129898906,1.0903451882025177,-0.19
136875170,Male,50,4,White,University,1,5,0,-1.889381878,-1.614381208,-0.838668951,0
136875330,Female,58,5,White,University,3,5,1,-1.000949972,-1.431916388,-1.457984017,-0.45
136876010,Male,51,4,White,ALevel,5,2,0,-0.6715314,-0.489181482,-0.138132237,0.95
136876090,Female,71,6,White,,5,1,0,1.3149624125753847,0.027802176,0.8162221262999981,0.78
136876130,Female,68,6,White,University,1,3,0,,,1.1208033061916862,1
136876170,Female,18,1,White,ALevel,7,1,1,1.0554205073861498,0.2710886027880587,-0.970654129,-0.37
136876210,Male,75,7,White,,5,3,0,-2.168888546,,-1.051875777,1.22
136877010,Male,45,4,White,Other,1,3,0,,,-2.737224972,1.22
136877170,Female,43,3,White,GCSE,5,1,0,0.1669886011614606,,0.5624044763902581,-0.53
136877210,Female,60,5,White,ALevel,6,1,0,,0.5042380955260736,1.1106506001952965,-0.33
136877250,Female,50,4,White,Other,5,1,0,-1.619857592,-2.131364866,-0.056910589,-0.01
136878090,Female,75,7,White,,5,2,0,1.933870032642022,,1.5370642520436597,-2.11
136878130,Female,60,5,White,ALevel,1,1,0,-1.29043902,-1.796846028,-0.290422827,-0.67
136878210,Female,38,3,White,GCSE,5,2,1,-0.990967591,-2.253008079,-1.427525899,-2.58
136878290,Male,81,7,White,,8,1,0,-0.731425686,,-1.021417659,1.22
136879050,Female,61,5,White,University,2,5,0,,0.7272506537972183,-0.056910589,0.48
136879090,Female,49,4,White,GCSE,5,4,1,0.7659314592904646,0.5143750299929439,-0.087368707,0.45
136879130,Male,46,4,White,,5,2,1,-1.280456639,,-0.544240477,
136879290,Male,51,4,White,University,1,5,0,1.6244162226087036,,1.1106506001952965,-0.3
136879330,Female,38,3,White,University,1,4,0,,,1.5269115460472702,1.22
136880010,Male,56,5,White,Other,3,3,0,0.7659314592904646,0.7779353261315695,0.1156854125491157,-0.72
136880090,Female,16,1,White,GCSE,1,5,1,1.0454381264173331,1.477383804345614,1.7807291959570102,1.22
136880170,Male,67,6,White,University,1,3,0,1.6543633655151535,0.3623210129898906,1.5776750760292182,1.22
136880250,Male,36,3,White,University,5,5,0,,0.8083461295321801,,0.75
136880290,Male,61,5,White,GCSE,1,4,1,0.4664600302259626,-0.62096163,,-0.02
136881010,Female,65,6,White,GCSE,2,4,0,-0.132482828,,-0.554393183,1
136881090,Female,45,4,White,GCSE,1,2,0,-0.421971876,,0.6233207123685957,0.47
136881170,Female,62,5,White,University,4,4,0,1.08536765,1.365877525210042,1.5776750760292182,0.26
136881210,Female,67,6,White,GCSE,1,5,0,0.7559490783216478,-0.519592286,0.3593503564624661,0.26
136881250,Female,48,4,White,University,1,5,0,-0.132482828,0.3623210129898906,0.3593503564624661,1
136881330,Male,46,4,White,University,1,5,0,1.3449095554818349,0.8793046708002716,0.1156854125491157,0.73
136882010,Female,73,6,White,,5,4,0,,,0.1156854125491157,
136882050,Male,34,2,White,GCSE,5,1,0,0.4764424111947792,0.8793046708002716,-0.544240477,-0.97
136882210,Female,64,5,White,University,2,1,0,0.486424792,0.7171137193303482,-0.097521413,0.54
136882250,Male,81,7,White,,5,2,0,0.1669886011614606,0.1088976513181353,0.3593503564624661,1.22
136882290,Female,59,5,White,University,3,4,0,0.1769709821302773,-0.377675203,0.3593503564624661,1.22
136883090,Male,69,6,White,,3,3,0,0.1669886011614606,0.3623210129898906,1.5370642520436597,0.7
136883130,Male,70,6,White,,5,3,0,,0.6968398503966078,-0.503629653,0.73
136883250,Male,46,4,White,GCSE,3,3,0,,,0.1055327065527261,0.78
136884010,Female,72,6,White,,5,5,0,,,0.7146950663361021,1
136884050,Female,71,6,White,University,1,5,0,,,,
136884090,Female,70,6,White,University,1,5,1,,,0.1461435305382845,1
136884130,Male,81,7,White,ALevel,1,5,0,,-0.002608628,-0.107674119,1.22
136884210,Male,45,4,White,GCSE,5,5,0,1.0953500312614166,,0.866985656,1.22
136884290,Male,88,7,White,University,1,4,0,0.7759138402592812,,-0.097521413,
136885010,Male,53,4,White,GCSE,4,3,1,-1.320386163,0.5447858333935546,-0.787905421,-0.73
136885050,Male,25,2,White,GCSE,1,2,0,0.5063895541012295,1.791628772818591,-1.529052959,-1.21
136885090,Male,70,6,White,ALevel,1,5,0,0.745966697,0.3623210129898906,0.3593503564624661,-0.8
136885130,Female,42,3,White,University,4,4,0,1.6244162226087036,0.6968398503966078,0.3593503564624661,1.22
136885170,Female,50,4,White,University,2,4,0,0.1869533630990941,0.027802176,0.8162221262999981,0.29
136885250,Female,36,3,White,University,1,5,0,-1.889381878,-0.671646303,0.1562962365346741,0.06
136885290,Male,73,6,White,University,1,2,0,-0.711460924,-1.442053322,0.3593503564624661,0.43
136886010,Female,70,6,White,,6,3,0,-0.990967591,,0.1461435305382845,1.22
136886090,Female,71,6,White,,6,3,0,-0.441936638,-1.857667635,0.3593503564624661,1.22
136886170,Male,48,4,White,University,2,3,0,-2.168888546,-2.202323407,-1.041723071,-0.49
